name,position,location,Company,profile_link
Moses Song,"VP, Head of Digital Associate Experiences","New York, New York, United States",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAACBmGUBW6vIE8sa1FQj9_K1k19iY_TMF_A,NAME_SEARCH,PGbs?_ntb=5%2BZmn3yrSVCVnHXAgGGeAA%3D%3D"
Rashid Abdalla,Managing Director,"London, England Metropolitan Area",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAE5F6MBT66K3XjNa417sNph2tdM7zrhh34,NAME_SEARCH,6b5-?_ntb=5%2BZmn3yrSVCVnHXAgGGeAA%3D%3D"
Stephanie Cohen,Chief Strategy Officer,"New York, New York, United States",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAAzsJEBL59t2UV-YQSL0NOLQHDAT7umK3U,NAME_SEARCH,Ut1w?_ntb=5%2BZmn3yrSVCVnHXAgGGeAA%3D%3D"
Rajiv Krishnakumar,Vice President in the R&D Engineering Team,"New York, New York, United States",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAahKnIBPgqHceLrlkgMBu9n-z0BUaK97Gc,NAME_SEARCH,wPQz?_ntb=5%2BZmn3yrSVCVnHXAgGGeAA%3D%3D"
Faisal Chowdhry,Executive Director,"London, England Metropolitan Area",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAABKi5oB9dSJgVROwDvdK6tDWyIN-WEwpuc,NAME_SEARCH,owUn?_ntb=5%2BZmn3yrSVCVnHXAgGGeAA%3D%3D"
Ali Meli,Retired Partner,New York City Metropolitan Area,Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAACfbQHIB3--tifC-23tDIQ2iqReSDdnohqM,NAME_SEARCH,0_LN?_ntb=5%2BZmn3yrSVCVnHXAgGGeAA%3D%3D"
Murad Nayal,"Managing Director, Global Head of Risk Informatics","New York, New York, United States",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAB90YMBd3Wg6xkj2uKU5PyXvIe0r3yiYos,NAME_SEARCH,WpCq?_ntb=5%2BZmn3yrSVCVnHXAgGGeAA%3D%3D"
Moritz Jobke,Managing Director,"London, England, United Kingdom",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAANXZoBkfDjcftqXbvRc9Uz0cmApDKMBGU,NAME_SEARCH,270a?_ntb=5%2BZmn3yrSVCVnHXAgGGeAA%3D%3D"
Nathaniel Hatten,Vice President - IT Audit - Risk Technology,Dallas-Fort Worth Metroplex,Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAG09OsBm1VQFFzFF5U_wDXoYGBWXxA8oME,NAME_SEARCH,M5bv?_ntb=5%2BZmn3yrSVCVnHXAgGGeAA%3D%3D"
Alexandre Flavier,Goldman Sachs Growth & Private Equity,"London, England, United Kingdom",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAPn5lgBysVSpZO6CWRV-O0fdK_TUxGz_3s,NAME_SEARCH,YyzI?_ntb=5%2BZmn3yrSVCVnHXAgGGeAA%3D%3D"
